sub,ses,subses,context,switch,train_type,transfer,full_transfer_first,original_house,n_clicks,n_cc,n_oc,n_lc,n_nc,setting_sticks,setting_slips,context_changes,accuracy,setting_errors,general_errors,learned_setting_errors,rt,win,rt_correct,transition_probabilities
53,2,1,2,0,1,NA,NA,NA,2.7142857142857144,2.6,0.11428571428571428,NA,0,0.014285714285714285,0.02857142857142857,0.05714285714285714,0.9861224489795918,0.013877551020408163,0,NA,1.0512857142857144,0.9714285714285714,0.9042028985507247,0.24313658201784488
53,2,1,2,1,1,NA,NA,NA,8,2.8,5.2,NA,0,0,0,0,0.3771428571428571,0.6228571428571429,0,NA,8.0052,0,NA,NA
53,2,2,1,0,1,NA,NA,NA,2.6527777777777777,2.5972222222222223,0.05555555555555555,NA,0,0,0.013888888888888888,0.027777777777777776,0.9930555555555556,0.006944444444444444,0,NA,0.7976388888888889,0.9861111111111112,0.7976388888888889,0.473134328358209
53,2,2,1,1,1,NA,NA,NA,8,4,4,NA,0,0,0,0,0.5,0.5,0,NA,3.9116666666666666,0,NA,NA
53,2,2,2,0,1,NA,NA,NA,2.6219512195121952,2.475609756097561,0.14634146341463414,NA,0,0.024390243902439025,0.036585365853658534,0.07317073170731707,0.9788406715235983,0.02115932847640165,0,NA,0.904109756097561,0.9512195121951219,0.774625,0.3198621553884712
53,2,2,2,1,1,NA,NA,NA,6.666666666666667,2.6666666666666665,4,NA,0,0,0,0,0.3761904761904762,0.6238095238095238,0,NA,3.639333333333333,0,NA,NA
53,3,1,3,0,1,1,1,1,2.875,2.525,0.15,0.25,0.2,0.025,0.05,0.225,0.9696428571428571,0.0125,0.017857142857142856,0.019642857142857142,1.504125,0.875,0.988,NA
53,3,2,4,0,1,2,1,NA,4.275,3.4,0.15,0.55,0.725,0,0.075,0.5,0.9230902777777777,0.00920138888888889,0.06770833333333333,0.05625,0.690625,0.85,0.6258684210526316,NA
54,1,1,1,0,NA,NA,NA,NA,3.8375,2.8,0.3875,NA,0.65,0.1125,0.2125,0.825,0.871750992063492,0.05263392857142857,0.07561507936507936,NA,1.2031,0.825,0.6523880597014925,NA
54,1,1,1,1,NA,NA,NA,NA,3,1,2,NA,0,1,1,2,0.3333333333333333,0.6666666666666666,0,NA,5.375,1,NA,NA
54,1,1,2,0,NA,NA,NA,NA,3.7872340425531914,2.74468085106383,0.44680851063829785,NA,0.5957446808510638,0.1276595744680851,0.2127659574468085,0.9148936170212766,0.8750891786561373,0.058581781172519595,0.06632904017134304,NA,0.6773617021276596,0.8085106382978723,0.37805263157894736,NA
54,1,1,2,1,NA,NA,NA,NA,14,4,4,NA,6,0,1,8,0.2857142857142857,0.2857142857142857,0.42857142857142855,NA,5.242,0,NA,NA
54,1,2,1,0,NA,NA,NA,NA,2.204081632653061,2.204081632653061,0,NA,0,0,0,0,1,0,0,NA,0.28583673469387755,1,0.28583673469387755,NA
54,1,2,2,0,NA,NA,NA,NA,2.5063291139240507,2.430379746835443,0.012658227848101266,NA,0.06329113924050633,0,0.012658227848101266,0.06329113924050633,0.9857594936708861,0.0015822784810126582,0.012658227848101266,NA,0.4494556962025317,0.9620253164556962,0.31577922077922077,NA
54,1,2,2,1,NA,NA,NA,NA,15,5,5,NA,5,1,1,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,NA,5.908,0,NA,NA
54,2,1,1,0,1,NA,NA,NA,5.107692307692307,3.2153846153846155,1.4,NA,0.49230769230769234,0.15384615384615385,0.2923076923076923,1.7846153846153847,0.8619087434304825,0.11949076286032807,0.018600493709189363,NA,0.6284923076923077,0.8615384615384616,0.46044444444444443,0.4817927170868347
54,2,1,1,1,1,NA,NA,NA,11.75,2.75,7.75,NA,1.25,0,0.75,3,0.23387445887445887,0.6660173160173161,0.1001082251082251,NA,5.72725,0,0.334,NA
54,2,1,2,0,1,NA,NA,NA,3.6551724137931036,2.7701149425287355,0.7241379310344828,NA,0.16091954022988506,0.1839080459770115,0.27586206896551724,1.0689655172413792,0.8888907221030633,0.0943605748959651,0.016748703000971605,NA,0.6967471264367816,0.8850574712643678,0.2851714285714286,0.29008152173913043
54,2,1,2,1,1,NA,NA,NA,11.75,3,7.5,NA,1.25,0,0.75,4.5,0.27443667443667447,0.6454351204351204,0.08012820512820512,NA,3.3920000000000003,0,0.4255,NA
54,2,2,1,0,1,NA,NA,NA,3.1818181818181817,2.727272727272727,0.3181818181818182,NA,0.13636363636363635,0.07954545454545454,0.14772727272727273,0.5454545454545454,0.9170008912655971,0.05325311942959002,0.029745989304812835,NA,0.7654431818181818,0.9090909090909091,0.42433766233766235,0.4944055944055944
54,2,2,1,1,1,NA,NA,NA,15,2.3333333333333335,11,NA,1.6666666666666667,0,0.6666666666666666,2.3333333333333335,0.20105820105820105,0.7063492063492063,0.0925925925925926,NA,7.419333333333333,0,NA,NA
54,2,2,2,0,1,NA,NA,NA,3.4,2.8153846153846156,0.4,NA,0.18461538461538463,0.09230769230769231,0.16923076923076924,0.7692307692307693,0.9237235228539576,0.05791527313266444,0.018361204013377926,NA,0.5403230769230769,0.9230769230769231,0.3683157894736842,0.4534313725490196
54,2,2,2,1,1,NA,NA,NA,18.5,3,14.5,NA,1,0,0.5,1.5,0.18587412587412588,0.7741258741258741,0.04,NA,8.82125,0,NA,NA
54,3,1,3,0,1,1,1,2,3.25,2.725,0.1,0.3,0.425,0,0.075,0.375,0.9616666666666667,0.01,0.028333333333333332,0.027083333333333334,0.38765,0.925,0.2857297297297297,NA
54,3,2,4,0,1,2,1,NA,3.55,2.925,0.15,0.225,0.475,0.05,0.1,0.45,0.9172756410256411,0.019284188034188035,0.06344017094017095,0.02451923076923077,0.562675,0.9,0.4295555555555556,NA
55,1,1,1,0,NA,NA,NA,NA,4.27906976744186,2.7209302325581395,0.5348837209302325,NA,1.0232558139534884,0,0.13953488372093023,0.8604651162790697,0.8965023994093761,0.035183647102251754,0.06831395348837209,NA,2.3193953488372094,0.8604651162790697,1.72375,NA
55,1,1,2,0,NA,NA,NA,NA,3.380952380952381,2.626984126984127,0.0873015873015873,NA,0.6666666666666666,0,0.03968253968253968,0.5476190476190477,0.8812169312169312,0.008276643990929705,0.11050642479213908,NA,1.158626984126984,0.7698412698412699,1.1115546218487395,NA
55,1,1,2,1,NA,NA,NA,NA,4,2,0,NA,2,0,0,2,0.5,0,0.5,NA,2.575,1,NA,NA
55,1,2,1,0,NA,NA,NA,NA,2.3164556962025316,2.3164556962025316,0,NA,0,0,0,0,1,0,0,NA,1.0072405063291139,1,1.0072405063291139,NA
55,1,2,1,1,NA,NA,NA,NA,1,1,0,NA,0,0,0,0,1,0,0,NA,1.617,1,1.617,NA
55,1,2,2,0,NA,NA,NA,NA,2.522222222222222,2.3222222222222224,0,NA,0.2,0,0,0.2,0.9496296296296296,0,0.05037037037037037,NA,0.6664555555555556,0.9111111111111111,0.6617045454545455,NA
55,1,2,2,1,NA,NA,NA,NA,5,3,1,NA,1,1,1,3,0.6,0.2,0.2,NA,2.517,0,NA,NA
55,2,1,1,0,2,NA,NA,NA,3.4,2.54,0.68,NA,0.18,0.02,0.18,0.66,0.8996471861471862,0.07567748917748918,0.024675324675324673,NA,0.7172,0.82,0.6616458333333334,0.3011131303952749
55,2,1,1,1,2,NA,NA,NA,6.76,2.64,3.32,NA,0.8,0,0.6,1.8,0.40994444444444444,0.48947619047619045,0.10057936507936507,NA,2.454,0.24,0.988,NA
55,2,1,2,0,2,NA,NA,NA,4.283333333333333,2.7,1.1666666666666667,NA,0.4166666666666667,0.1,0.45,1.6333333333333333,0.7614707514707515,0.172246595996596,0.06628265253265253,NA,0.79915,0.6,0.6610425531914894,0.4194386694386695
55,2,1,2,1,2,NA,NA,NA,6.64,2.56,3.4,NA,0.68,0,0.32,1.12,0.385004329004329,0.5283578643578644,0.08663780663780664,NA,2.90136,0.08,NA,NA
55,2,2,1,0,2,NA,NA,NA,4.2063492063492065,2.6507936507936507,1.2222222222222223,NA,0.3333333333333333,0.07936507936507936,0.4603174603174603,1.507936507936508,0.784551779789875,0.17236454022168307,0.04308367998844189,NA,0.8718412698412699,0.6825396825396826,0.6186363636363637,0.4485518292682927
55,2,2,1,1,2,NA,NA,NA,5.818181818181818,2.409090909090909,2.8636363636363638,NA,0.5454545454545454,0,0.5,1.1363636363636365,0.4642857142857143,0.4623196248196248,0.07339466089466089,NA,2.4423636363636363,0.3181818181818182,1.14825,NA
55,2,2,2,0,2,NA,NA,NA,4.288461538461538,2.3653846153846154,1.5384615384615385,NA,0.38461538461538464,0.11538461538461539,0.5576923076923077,1.7884615384615385,0.7109702797202797,0.2298104673104673,0.05921925296925297,NA,1.0653269230769231,0.5961538461538461,0.7279767441860465,0.22004504504504502
55,2,2,2,1,2,NA,NA,NA,5.695652173913044,2.260869565217391,2.8260869565217392,NA,0.6086956521739131,0,0.34782608695652173,1,0.442743005786484,0.47908769973987364,0.07816929447364229,NA,2.300478260869565,0.391304347826087,1.2465,NA
55,3,1,3,0,2,1,1,1,2.75,2.55,0.025,0.05,0.175,0,0.025,0.1,0.9818181818181818,0.0022727272727272726,0.015909090909090907,0.004545454545454545,0.570925,0.975,0.4958205128205128,NA
55,3,2,4,0,2,2,1,NA,3.325,2.9,0.175,0.35,0.25,0.025,0.075,0.35,0.9495887445887445,0.022878787878787877,0.027532467532467533,0.0429004329004329,0.47105,0.85,0.3686315789473684,NA
56,1,1,1,0,NA,NA,NA,NA,4.25,2.92,0.25,NA,1.08,0.015,0.14,0.915,0.8189578662007068,0.02707999639249639,0.15396213740679685,NA,1.621705,0.71,1.2303333333333333,NA
56,1,1,2,0,NA,NA,NA,NA,5.125,2.625,0.75,NA,1.75,0.125,0.5,1.625,0.6681547619047619,0.11904761904761904,0.21279761904761904,NA,1.6265,0.5,0.97,NA
56,1,1,2,1,NA,NA,NA,NA,8,2,4,NA,2,1,1,2,0.25,0.5,0.25,NA,10.009,0,NA,NA
56,1,2,1,0,NA,NA,NA,NA,4.253164556962025,3.481012658227848,0.22784810126582278,NA,0.5443037974683544,0.012658227848101266,0.02531645569620253,0.6582278481012658,0.9304436454200953,0.008831321754489255,0.06072503282541551,NA,0.8598860759493671,0.810126582278481,0.8168421052631579,NA
56,1,2,1,1,NA,NA,NA,NA,3,3,0,NA,0,0,0,0,1,0,0,NA,5.4,1,5.4,NA
56,1,2,2,0,NA,NA,NA,NA,3.015625,2.75,0.1171875,NA,0.1484375,0.0078125,0.0546875,0.171875,0.9691820549242425,0.012959674873737373,0.0178582702020202,NA,0.98796875,0.84375,0.9730873015873016,NA
56,1,2,2,1,NA,NA,NA,NA,7,1,3,NA,3,1,1,4,0.14285714285714285,0.42857142857142855,0.42857142857142855,NA,9.317,0,NA,NA
56,2,1,1,0,2,NA,NA,NA,6.517857142857143,3.125,2.5892857142857144,NA,0.8035714285714286,0.6428571428571429,0.8214285714285714,3.75,0.5787379535147392,0.36867559523809523,0.05258645124716553,NA,1.6739107142857144,0.42857142857142855,0.9490526315789474,0
56,2,1,1,1,2,NA,NA,NA,8.26086956521739,3.391304347826087,3.1739130434782608,NA,1.6956521739130435,0,0.6521739130434783,3.739130434782609,0.5915944058782934,0.2738476840011367,0.13455791012056997,NA,1.045304347826087,0.391304347826087,0.37325,NA
56,2,1,2,0,2,NA,NA,NA,6.526315789473684,3.017543859649123,2.6140350877192984,NA,0.8947368421052632,0.6491228070175439,0.9122807017543859,3.754385964912281,0.5154475984971341,0.39189186573087503,0.09266053577199088,NA,1.7512631578947369,0.42105263157894735,1.1691578947368422,0.75
56,2,1,2,1,2,NA,NA,NA,8.125,3.0416666666666665,4.291666666666667,NA,0.7916666666666666,0,0.7916666666666666,3.125,0.49458307895807896,0.40324710012210013,0.10216982091982092,NA,2.7149583333333336,0.375,0.6034545454545455,NA
56,2,2,1,0,2,NA,NA,NA,5.631578947368421,2.8947368421052633,2.736842105263158,NA,0,0.631578947368421,0.9122807017543859,4,0.5612250732749348,0.43877492672506524,0,NA,0.6308771929824561,0.38596491228070173,0.3350952380952381,0.48314606741573035
56,2,2,1,1,2,NA,NA,NA,5.125,2.8333333333333335,2.2916666666666665,NA,0,0,0.625,2.5,0.5920469576719577,0.4079530423280423,0,NA,0.6681666666666667,0.5416666666666666,0.38366666666666666,NA
56,2,2,2,0,2,NA,NA,NA,4.781818181818182,2.4909090909090907,2.272727272727273,NA,0.01818181818181818,0.5272727272727272,0.8909090909090909,3.2363636363636363,0.5686396431850977,0.42833005378459926,0.0030303030303030303,NA,0.6188727272727272,0.5272727272727272,0.37268,0.5
56,2,2,2,1,2,NA,NA,NA,4.875,2.6666666666666665,2.2083333333333335,NA,0,0,0.75,2.25,0.605191798941799,0.394808201058201,0,NA,0.6109583333333334,0.5,0.39216666666666666,NA
56,3,1,3,0,2,1,1,2,4.85,2.475,1.35,2.375,1.025,0.3,0.725,2.85,0.5540232683982684,0.243495670995671,0.2024810606060606,0.44597673160173157,0.764175,0.5,0.2789285714285714,NA
56,3,2,4,0,2,2,1,NA,5.4,2.775,1.225,2.2,1.4,0.375,0.65,2.65,0.6371915849673203,0.1952701914098973,0.16753822362278245,0.3369812091503268,0.65545,0.45,0.5446521739130434,NA
