sub,ses,context,switch,train_type,transfer,full_transfer_first,original_house,t,n_clicks,n_cc,n_oc,n_lc,n_nc,setting_sticks,setting_slips,context_changes,accuracy,setting_errors,general_errors,learned_setting_errors,rt,win,rt_correct,transition_probabilities
3,3,1,1,2,NA,NA,NA,83.3076923076923,2.717948717948718,2.58974358974359,0.1282051282051282,NA,0,0.10256410256410256,0.10256410256410256,0.20512820512820512,0.9551282051282052,0.04487179487179487,0,NA,0.936974358974359,1,0.9054571428571428,NA
3,3,2,0,2,NA,NA,NA,83.925,2.75,2.725,0.025,NA,0,0,0.025,0.05,0.995,0.005,0,NA,0.52355,0.95,0.52355,NA
3,3,2,1,2,NA,NA,NA,83.25,2.65,2.575,0.075,NA,0,0.075,0.075,0.15,0.9770833333333333,0.022916666666666665,0,NA,0.941875,0.95,0.9098918918918919,NA
4,1,1,0,NA,NA,NA,NA,65.79220779220779,3.051948051948052,2.675324675324675,0.23376623376623376,NA,0.14285714285714285,0.025974025974025976,0.1038961038961039,0.42857142857142855,0.9576685219542362,0.029777365491651206,0.012554112554112554,NA,1.4156103896103895,0.922077922077922,1.3493378378378378,NA
4,1,1,1,NA,NA,NA,NA,88,2,1,1,NA,0,1,1,2,0.5,0.5,0,NA,7.5,1,NA,NA
4,1,2,0,NA,NA,NA,NA,103.53571428571429,2.857142857142857,2.4523809523809526,0.13095238095238096,NA,0.27380952380952384,0.023809523809523808,0.047619047619047616,0.27380952380952384,0.9647108843537415,0.013860544217687076,0.02142857142857143,NA,0.7432619047619048,0.9404761904761905,0.6727,NA
4,1,2,1,NA,NA,NA,NA,85,5.5,2,1,NA,2.5,0,0.5,2.5,0.65,0.1,0.25,NA,3.8675,0.5,2.851,NA
4,2,1,0,2,NA,NA,NA,173.11214953271028,3.383177570093458,2.8130841121495327,0.5700934579439252,NA,0,0.2336448598130841,0.4672897196261682,0.9345794392523364,0.8647691871990938,0.13523081280090626,0,NA,0.7271401869158879,0.7289719626168224,0.4491219512195122,NA
4,2,1,1,2,NA,NA,NA,167.70212765957447,8.319148936170214,2.6595744680851063,5.659574468085107,NA,0,0,0,0,0.34969315554421937,0.6503068444557806,0,NA,4.716340425531915,0.06382978723404255,0.4836666666666667,NA
4,2,2,0,2,NA,NA,NA,149.41666666666666,2.7685185185185186,2.5277777777777777,0.24074074074074073,NA,0,0.037037037037037035,0.06481481481481481,0.14814814814814814,0.9660614077280744,0.033938592271925604,0,NA,0.7311296296296296,0.9444444444444444,0.6399134615384615,NA
